ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
1224246-20020221,1224246,242722,1,"D & P MECHANICAL, INC.",D & P MECHANICAL,16540  TAMELING DR,LOCKPORT,IL,60441,,,,,1010,Limited Business License,,,1224246.0,ISSUE,02/11/2002,02/15/2002,02/15/2002,N,02/21/2002,02/15/2003,02/21/2002,02/22/2002,AAI,,,,,
20757-20070216,1778144,29121,1,INTERNATIONAL CONTRACTORS INC,INTERNATIONAL CONTRACTORS INC,977 S RT 83   1,ELMHURST,IL,60126,,,,,1010,Limited Business License,,,20757.0,RENEW,,12/20/2006,01/17/2007,N,02/16/2007,03/15/2009,01/17/2007,01/18/2007,AAI,,,,,
72542-20070216,1776603,21868,2,WALSH SERVICES INC.,WALSH SERVICES INC.,4624 W 138 ST,CRESTWOOD,IL,60445,,,,,1010,Limited Business License,,,72542.0,RENEW,,12/20/2006,02/02/2007,N,02/16/2007,03/15/2009,02/02/2007,02/05/2007,AAI,,,,,
1879983-20111216,2123732,325372,1,"GORDON'S PLUMBING & SEWER, INC.","GORDON'S PLUMBING & SEWER, INC",871  WILLOW RD,MANTENO,IL,60950,,,,,1011,Home Repair,,,1879983.0,RENEW,,10/14/2011,11/21/2011,N,12/16/2011,12/15/2013,11/21/2011,11/22/2011,AAC,12/29/2012,,41.91368122,-87.650723662,"(41.91368122009932, -87.65072366160484)"
1299803-20131016,2281192,254040,1,JUAN M. PUENTE,JUAN M. PUENTE,3035 W 59TH ST,CHICAGO,IL,60629,16.0,39.0,16-39,8.0,1010,Limited Business License,648,Dry Cleaning - Drop Off Location,1299803.0,RENEW,,08/15/2013,09/12/2013,N,10/16/2013,10/15/2015,09/12/2013,09/13/2013,AAI,,59.0,41.786194797,-87.699832597,"(41.786194796612314, -87.69983259702936)"
59792-20030216,1355726,58427,1,ROBERT A.DAVIS INC.,ROBERT A DAVIS INC,7418  CHURCHILL   1,MORTON GROVE,IL,60053,,,,,1011,Home Repair,,,59792.0,RENEW,,05/14/2003,05/14/2003,N,02/16/2003,02/15/2004,05/14/2003,05/16/2003,AAI,,,,,
1997630-20090915,1997630,347331,1,SEAMUS QUIN BARTLETT,SEAMUS QUIN BARTLETT,454 W PLEASANT ST,WATERVLIET,MI,49098,,,,,1605,Street Performer,,,1997630.0,ISSUE,09/15/2009,09/15/2009,09/15/2009,N,09/15/2009,10/15/2011,,09/15/2009,AAI,,,,,
50370-20030216,1318312,56644,1,EDWARD SZCZESNIAK,EDWARD SZCZESNIAK-SUNSET FIREWORKS,10476  SUNSET DR  1,DITTMER,MO,63023,,,,,1255,"Explosives, Certificate of Fitness",653,Employee of a Wrecking/Demolitio/Fireworks Contractor (Cert. of Fitness),50370.0,RENEW,,12/17/2002,02/25/2003,N,02/16/2003,02/15/2004,02/26/2003,02/28/2003,AAI,,,,,
1228008-20121016,2180807,43752,2,FRANK D LUCAS,DAYBREAK,7246 S CHAMPLAIN AVE # 2,CHICAGO,IL,60619,6.0,30.0,6-30,3.0,1012,Home Occupation,,,1228008.0,RENEW,,08/15/2012,10/08/2012,N,10/16/2012,10/15/2014,10/08/2012,10/09/2012,AAC,12/29/2012,,41.762596731,-87.609295379,"(41.76259673057146, -87.60929537939398)"
61547-20080316,1885896,55992,25,"MELROSE PYROTECHNICS, INC.",CLAYTON W. COOK - MELROSE PYROTECHNICS,1  KINGSBURY INDUSTRIAL PARK P. O BOX 302,KINGSBURY,IN,46345,,,,,1255,"Explosives, Certificate of Fitness",653,Employee of a Wrecking/Demolitio/Fireworks Contractor (Cert. of Fitness),61547.0,RENEW,,01/22/2008,02/04/2008,N,03/16/2008,03/15/2010,02/13/2008,02/14/2008,AAI,,,,,
1596988-20070216,1776690,22318,2,TOMORROWS INTERIORS CORPORATION,TOMORROW'S INTERIORS CORP,302  CRANDON,CALUMET CITY,IL,60409,,,,,1011,Home Repair,,,1596988.0,RENEW,,12/20/2006,02/10/2007,N,02/16/2007,04/15/2009,03/27/2007,03/28/2007,AAI,,,,,
2208684-20160316,2445192,350982,1,"DECO HVAC, INC.",DECO HVAC,1075  GRISSOM TRAIL  1ST,ELK GROVE VILLAGE,IL,60007,,,,,4404,Regulated Business License,673,Home Repair Services,2208684.0,RENEW,,01/15/2016,02/02/2016,N,03/16/2016,03/15/2018,02/02/2016,02/03/2016,AAI,,,,,
2215032-20121229,2215032,323628,1,"PAYLESS AUTO BODY SHOP & COMPLETE AUTO REPAIR, INC.","PAYLESS AUTO BODY SHOP & COMPLETE AUTO REPAIR, INC.",5625 S WESTERN AVE 1,CHICAGO,IL,60636,15.0,6.0,15-6,8.0,8340,Motor Vehicle Services License,711,Motor Vehicle Repair - Engine and Body Work,2215032.0,ISSUE,,,,N,12/29/2012,06/15/2013,,12/29/2012,AAI,,59.0,41.791484957,-87.683828679,"(41.791484957299254, -87.68382867883652)"
1274894-20060216,1666685,252232,1,JESUS R. SALAZAR,ALL CLEAR WINDOW CLEANING,5501  LINCOLN AVE  301,MORTON GROVE,IL,60053,,,,,1010,Limited Business License,,,1274894.0,RENEW,,12/21/2005,02/22/2006,N,02/16/2006,02/15/2007,02/22/2006,02/23/2006,AAI,,,41.981345765,-87.69265967,"(41.98134576518484, -87.69265967008852)"
26550-20080316,1885767,30569,1,U S TOBACCO SALES/MARKETING CO,U S TOBACCO SALES/MARKETING CO,100 W PUTNAM AVE  1,GREENWICH,CT,06830,,,,,1783,Tobacco Sampler,644,Distribution of Tobacco Product Samples to The General Public,26550.0,RENEW,,01/22/2008,04/28/2008,N,03/16/2008,03/15/2010,04/28/2008,04/29/2008,AAI,,,,,
1352441-20040216,1467459,261448,1,MARK S CHRISTIANSEN,MARK S CHRISTIANSEN,15254  CALLE JUANITO,SAN DIEGO,CA,92129,,,,,1604,"Peddler, non-food",,,1352441.0,RENEW,,12/15/2003,,N,02/16/2004,02/15/2005,,12/22/2003,AAC,07/01/2013,,,,
2205949-20160416,2448652,243908,1,"VINCE NERI POWER RODDING & SEWER REPAIR CONSTRUCTION, INC","VINCE NERIN POWER RODDING & SEWER REPAIR CONSTRUCTION, INC",6735 W BRUNS RD,MONEE,IL,60449,,,,,4404,Regulated Business License,673,Home Repair Services,2205949.0,RENEW,,02/15/2016,03/03/2016,N,04/16/2016,04/15/2018,03/03/2016,03/04/2016,AAI,,,,,
2146463-20160416,2448955,268189,2,"K.C.W. ENVIRONMENTAL CONDITIONING, INC.","K.C.W. ENVIRONMENTAL CONDITIONING, INC.",150 E SAINT CHARLES RD  D,CAROL STREAM,IL,60188,,,,,1010,Limited Business License,902 | 901,"Heating, Ventilation and Air Conditioning Services - Commercial | Heating, Ventilation and Air Conditioning Services - Residential",2146463.0,RENEW,,02/15/2016,02/25/2016,N,04/16/2016,04/15/2018,02/25/2016,02/26/2016,AAI,,,,,
1845087-20170816,2539352,321218,1,ANN E. CASSIDY,CROSSMARK SITE UTILITIES,19331 S SHABBONA DR,TINLEY PARK,IL,60487,,,,,1010,Limited Business License,,,1845087.0,RENEW,,06/15/2017,07/09/2017,N,08/16/2017,08/15/2019,07/09/2017,07/10/2017,AAI,,,,,
1092307-20030216,1322683,206569,1,AIR TEMPERATURE  SERVICES INC,AIR TEMPERATURE SERVICES INC,5301  VOGES RD,MADISON,WI,53718,,,,,1010,Limited Business License,,,1092307.0,RENEW,,12/17/2002,02/27/2003,N,02/16/2003,02/15/2004,05/08/2003,05/09/2003,AAI,,,,,
1222477-20040216,1463162,217889,1,TANCO PLUMBING INC,TANCO PLUMBING INC,1451 W MARCY LN,WHEELING,IL,60090,,,,,1011,Home Repair,,,1222477.0,RENEW,,12/15/2003,02/17/2004,N,02/16/2004,02/15/2005,12/22/2003,03/16/2004,AAI,,,,,
1225904-20050216,1557605,46819,3,SAMIR HUSETOVIC,SAMMY DELIVERY SERVICE,7521 W BROWN,FOREST PARK,IL,60130,,,,,1010,Limited Business License,,,1225904.0,RENEW,,12/20/2004,01/11/2005,N,02/16/2005,02/15/2006,01/11/2005,01/12/2005,AAI,,,,,
1598028-20130316,2227902,292771,1,"LAKESHORE BUILDING SERVICES, INC.",LAKESHORE BUILDING SERVICES,1601 W COLONIAL PKWY,INVERNESS,IL,60067,,,,,1010,Limited Business License,,,1598028.0,RENEW,,01/17/2013,02/07/2013,N,03/16/2013,03/15/2015,02/07/2013,02/08/2013,AAI,,,,,
24411-20030816,1363821,30038,1,FOX BROTHERS TAILORS INC,FOX BROS TAILORS INC,556 W ROOSEVELT RD  1,CHICAGO,IL,60607,25.0,28.0,25-28,1.0,1010,Limited Business License,,,24411.0,RENEW,,06/24/2003,07/24/2003,N,08/16/2003,08/15/2004,07/24/2003,07/25/2003,AAI,,,41.867340031,-87.641502099,"(41.86734003106503, -87.64150209915232)"
1489177-20071116,1862838,275033,1,ZZOZO PRODUCTIONS,STUDIO 2020,2020 W CONCORD PL  1,CHICAGO,IL,60647,2.0,36.0,2-36,14.0,1010,Limited Business License,,,1489177.0,RENEW,,09/21/2007,11/13/2007,N,11/16/2007,11/15/2009,11/13/2007,11/14/2007,AAI,,33.0,41.911669809,-87.678147086,"(41.911669808863415, -87.67814708639861)"
1224186-20040216,1464024,230404,1,COMPLETE SALT SERVICES INC,COMPLETE SALT SERVICES INC,348  CHERRYWOOD RD,BUFFALO GROVE,IL,60089,,,,,1010,Limited Business License,,,1224186.0,RENEW,,12/15/2003,02/03/2004,N,02/16/2004,02/15/2005,12/22/2003,02/04/2004,AAI,,,,,
46465-20030816,1368751,56023,1,THE LEE COMPANY,THE LEE COMPANY,8600 W BRYN MAWR AVE  160N,CHICAGO,IL,60631,41.0,28.0,41-28,16.0,1010,Limited Business License,,,46465.0,RENEW,,06/24/2003,07/21/2003,N,08/16/2003,08/15/2004,07/21/2003,07/22/2003,AAI,,,41.981134545,-87.841638423,"(41.98113454543051, -87.84163842292439)"
1227589-20020402,1227589,244036,1,OAK LAWN MOTORS INC,OAK LAWN TOYOTA,4320 W 95TH ST,OAK LAWN,IL,60453,,,,,1010,Limited Business License,,,1227589.0,ISSUE,03/15/2002,03/29/2002,04/01/2002,N,04/02/2002,02/15/2003,04/02/2002,04/03/2002,AAI,,,,,
1272123-20030216,1328368,251037,1,LAVERN  J JOHNSON,LAVERNE,19363 S 12TH AVE,MAYWOOD,IL,60153,,,,,1604,"Peddler, non-food",,,1272123.0,RENEW,,12/17/2002,03/10/2003,N,02/16/2003,02/15/2004,,12/22/2003,AAI,,,,,
14901-20060216,1662793,85668,3,ACME REFINING COMPANY,"ACME REFINING CO., INC.",1719 W 35TH ST  1ST F,CHICAGO,IL,60609,12.0,29.0,12-29,9.0,1010,Limited Business License,,,14901.0,RENEW,,12/21/2005,01/30/2006,N,02/16/2006,02/15/2007,01/30/2006,01/31/2006,AAI,,,41.830355554,-87.668774628,"(41.83035555429504, -87.66877462788294)"
1695050-20110316,2077625,302862,1,WILLIAM T. WELLS,Wells Debris Removal,2301 S 21ST AVE,BROADVIEW,IL,60155,,,,,1011,Home Repair,,,1695050.0,RENEW,,01/14/2011,03/15/2011,N,03/16/2011,03/15/2013,03/15/2011,03/16/2011,AAC,12/29/2012,,,,
1519518-20040910,1519518,281392,1,RONALD  GOLDE,KBR DESIGNS,3700  CAPRI CT  406,GLENVIEW,IL,60025,,,,,1010,Limited Business License,,,1519518.0,ISSUE,09/09/2004,09/09/2004,09/09/2004,N,09/10/2004,02/15/2005,09/09/2004,09/10/2004,AAI,,,,,
1044824-20030216,1322290,203309,1,CANDIS DOREEN POWELL,POWELL FUL ELECTRIC,613 W 54TH PL,CHICAGO,IL,60609,20.0,50.0,20-50,9.0,1012,Home Occupation,,,1044824.0,RENEW,,12/17/2002,04/03/2003,N,02/16/2003,02/15/2004,04/03/2003,04/04/2003,AAI,,,41.795183736,-87.640966611,"(41.79518373643745, -87.64096661141443)"
17599-20020516,1237719,28366,1,THE MEADOWS DISTRIBUTING CO,THE MEADOW'S DISTRIBUTING CO,1253  KINGSLAND DR  PLANT,BATAVIA,IL,60510,,,,,1007,Wholesale Food Establishment,864,Wholesale Food Sales,17599.0,RENEW,,03/27/2002,04/22/2002,N,05/16/2002,05/15/2003,04/22/2002,04/23/2002,AAI,,,,,
1618058-20050714,1618058,293907,1,"MORFIN CONSTRUCTION GENERAL CARPENTRY, INC.","MORFIN CONSTRUCTION GENERAL CARPENTRY, INC.",1553 S MANNHEIM RD,STONE PARK,IL,60165,,,,,1011,Home Repair,,,1618058.0,ISSUE,07/13/2005,07/13/2005,07/13/2005,N,07/14/2005,02/15/2006,07/13/2005,07/14/2005,AAI,,,,,
1802711-20110316,2077823,314661,1,IMAGE MEDIA ADVERTISING INCORPORATED,IMAGE MEDIA ADVERTISING INCORPORATED,5101  DARMSTADT RD  A,HILLSIDE,IL,60162,,,,,1010,Limited Business License,,,1802711.0,RENEW,,01/14/2011,05/16/2011,N,03/16/2011,03/15/2013,05/16/2011,05/17/2011,AAI,,,,,
1680356-20060307,1680356,301458,1,"CONCRETE WATERPROOFING SYSTEMS, INC","CONCRETE WATERPROOFING SYSTEMS, INC",4112  SUNSET RD,MATTESON,IL,60443,,,,,1011,Home Repair,,,1680356.0,ISSUE,02/27/2006,03/03/2006,03/03/2006,N,03/07/2006,02/15/2007,03/03/2006,03/07/2006,AAI,,,,,
64137-20160416,2447807,20118,1,Hussmann Services Corporation,HUSSMANN CORP,890  REMINGTON BLVD,BOLINGBROOK,IL,60440,,,,,1010,Limited Business License,,,64137.0,RENEW,,02/15/2016,02/29/2016,N,04/16/2016,04/15/2018,02/29/2016,03/01/2016,AAI,,,,,
35976-20130316,2227143,86137,1,COATINGS APPLICATION & WATERPR,COATINGS APPLICATION & WATERPR,5125 N 2ND,SAINT LOUIS,MO,63147,,,,,1010,Limited Business License,,,35976.0,RENEW,,01/17/2013,02/25/2013,N,03/16/2013,03/15/2015,02/25/2013,02/26/2013,AAI,,,,,
36142-20090416,1956080,54361,1,"RAINCOAT ROOFING SYSTEMS, INC.",RAINCOAT ROOFING,1750 W PARKES DR  1ST,BROADVIEW,IL,60155,,,,,1010,Limited Business License,,,36142.0,RENEW,,02/17/2009,03/04/2009,N,04/16/2009,04/15/2011,03/04/2009,03/05/2009,AAI,,,,,
1330719-20030110,1330719,257544,1,"NU FAZE INSPECTION, INC.",NU FAZE INSPECTION,5605 S NATOMA AVE,CHICAGO,IL,60638,23.0,11.0,23-11,8.0,1012,Home Occupation,,,1330719.0,ISSUE,01/08/2003,01/08/2003,01/08/2003,N,01/10/2003,02/15/2004,01/10/2003,01/10/2003,AAI,,,41.790208444,-87.78769225,"(41.79020844363143, -87.78769224992814)"
1475470-20070216,1776662,22230,3,TEMP CONTROL INC,"TEMP CONTROL, INC.",670  LUNT AVE,ELK GROVE,IL,60007,,,,,1010,Limited Business License,,,1475470.0,RENEW,,12/20/2006,01/12/2007,N,02/16/2007,04/15/2008,01/12/2007,01/16/2007,AAI,,,,,
1575774-20130316,2227850,287225,1,BRIAN AND SONS INC.,BRIAN AND SONS INC.,374  TIMBER OAK DR,NORTH AURORA,IL,60542,,,,,1010,Limited Business License,901 | 902,"Heating, Ventilation and Air Conditioning Services - Residential | Heating, Ventilation and Air Conditioning Services - Commercial",1575774.0,RENEW,,01/17/2013,03/04/2013,N,03/16/2013,03/15/2015,03/04/2013,03/05/2013,AAI,,,,,
1246945-20030216,1316210,48282,2,C.L. BEC CONSTRUCTION INC,C.L. BEC CONSTRUCTION,2755  BERNICE RD,LANSING,IL,60438,,,,,1010,Limited Business License,,,1246945.0,RENEW,,12/17/2002,03/06/2003,N,02/16/2003,02/15/2004,03/06/2003,03/07/2003,AAI,,,,,
2113902-20110823,2113902,365683,1,DERRICK ANTHONY TATE,DERRICK ANTHONY TATE,18916  MARTIN LN,COUNTRY CLUB HILLS,IL,60478,,,,,1605,Street Performer,,,2113902.0,ISSUE,08/23/2011,08/23/2011,08/23/2011,N,08/23/2011,09/15/2013,,08/23/2011,AAC,12/29/2012,,,,
1879147-20110916,2105287,39346,2,"NORRIDGE SEWER & WATER CONSTRUCTION, INC",NORRIDGE SEWER & WATER CONSTRUCTION,9233 W CHERRY AVE,FRANKLIN PARK,IL,60131,,,,,1010,Limited Business License,,,1879147.0,RENEW,,07/15/2011,12/14/2011,N,09/16/2011,09/15/2013,01/03/2012,01/04/2012,AAI,,,,,
1577613-20050516,1591442,288023,1,B & Y CANADY ENTERPRISES VI INC,MCDONALDS,845 N MICHIGAN AVE,CHICAGO,IL,60611,2.0,37.0,2-37,18.0,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1577613.0,RENEW,,03/23/2005,01/12/2006,N,05/16/2005,05/15/2006,01/12/2006,01/13/2006,AAI,,,41.898079921,-87.623945706,"(41.898079920503314, -87.6239457056618)"
2418050-20150720,2418050,382644,2,"Y&T Services,Inc.","Y&T Services,Inc.",253  BRIDLEWOOD CT 1,SCHAUMBURG,IL,60173,,,,,4404,Regulated Business License,673,Home Repair Services,2418050.0,ISSUE,,07/17/2015,07/17/2015,N,07/20/2015,07/15/2017,07/17/2015,07/20/2015,AAI,,,,,
1979681-20090622,1979681,344739,1,DAVID ALLEN O'DELL,DAVID ALLEN O'DELL,201 N ROCKFORD AVE,ROCKFORD,IL,61107,,,,,1605,Street Performer,,,1979681.0,ISSUE,06/22/2009,06/22/2009,06/22/2009,N,06/22/2009,07/15/2011,,06/22/2009,AAI,,,,,
2308205-20140128,2308205,387813,1,"American Underground of IL, LLC","American Underground of IL, LLC",373  SCHMALE RD SECOND 203,CAROL STREAM,IL,60188,,,,,1010,Limited Business License,708,Miscellaneous Commercial Services,2308205.0,ISSUE,,01/27/2014,01/27/2014,N,01/28/2014,02/15/2016,01/27/2014,01/28/2014,AAI,,,,,
35331-20070216,1784616,86125,3,ANCHORAGE CONSTRUCTION INC,ANCHORAGE CONSTRUCTION INC,1944  D LEHIGH  1ST,GLENVIEW,IL,60025,,,,,1010,Limited Business License,,,35331.0,RENEW,,12/20/2006,01/17/2007,N,02/16/2007,04/15/2008,01/17/2007,01/18/2007,AAI,,,,,
1403361-20100116,2006435,266934,2,LORI WESSON - LEE,SWEET PEA TRANSPORTATION INC,7000 S CICERO AVE,BEDFORD PARK,IL,60638,,,,,1010,Limited Business License,,,1403361.0,RENEW,,11/16/2009,01/14/2010,N,01/16/2010,01/15/2012,01/14/2010,01/14/2010,AAI,,,41.765869291,-87.742080701,"(41.76586929142589, -87.74208070061113)"
1093047-20070216,1785583,207006,1,SAM MUNASSAR ODISHO,TOPLINE,8036 N KOLMAR AVE,SKOKIE,IL,60076,,,,,1010,Limited Business License,,,1093047.0,RENEW,,12/20/2006,01/09/2007,N,02/16/2007,04/15/2009,01/09/2007,01/10/2007,AAI,,,,,
2270975-20170716,2534000,383018,1,"Financial Asset Management Systems, Inc.","Financial Asset Management Systems, Inc.",70  CORPORATE HILLS DR  103,ST. CHARLES,MO,63301,,,,,4404,Regulated Business License,912,Debt Collecting - Administrative Commercial Office,2270975.0,RENEW,,05/15/2017,07/07/2017,N,07/16/2017,07/15/2019,07/07/2017,07/10/2017,AAI,,,,,
2060969-20141016,2353267,357307,1,"HIS Constructors, INC","HIS Constructors, INC",5150 E 65TH ST  B,INDIANAPOLIS,IN,46220,,,,,1010,Limited Business License,,,2060969.0,RENEW,,08/15/2014,09/17/2014,N,10/16/2014,10/15/2016,09/17/2014,09/18/2014,AAI,,,,,
1196048-20050216,1564630,220693,1,CITY UTILITY EQUIPMENT,CITY UTILITY EQUIPMENT,22414 W 143RD ST,PLAINFIELD,IL,60544,,,,,1010,Limited Business License,,,1196048.0,RENEW,,12/20/2004,01/19/2005,N,02/16/2005,02/15/2006,01/19/2005,01/20/2005,AAI,,,,,
2205675-20140216,2300914,204038,2,"AMERICAN PRIDE HEATING & COOLING, INC.",AMERICAN PRIDE HEATING & COOLING,8115 N WISNER  1ST,NILES,IL,60714,,,,,4404,Regulated Business License,673,Home Repair Services,2205675.0,RENEW,,12/15/2013,01/21/2014,N,02/16/2014,02/15/2016,01/21/2014,01/22/2014,AAI,,,,,
36092-20051116,1629356,33020,1,BANNER PLUMBING SUPPLY CO INC,BANNER PLUMBING SUPPLY CO INC,7255 S COTTAGE GROVE AVE,CHICAGO,IL,60619,8.0,39.0,8-39,3.0,1010,Limited Business License,,,36092.0,RENEW,,09/22/2005,10/11/2005,N,11/16/2005,11/15/2006,10/11/2005,10/12/2005,AAI,,,41.7625576,-87.605350405,"(41.762557600300234, -87.60535040531462)"
2340335-20140618,2340335,391190,1,"Restoration And Preservation Enterprises, Inc.",R&P Enterprises,455 N HARRISON ST,KANKAKEE,IL,60901,,,,,1010,Limited Business License,708,Miscellaneous Commercial Services,2340335.0,ISSUE,,06/17/2014,06/17/2014,N,06/18/2014,07/15/2016,06/17/2014,06/18/2014,AAI,,,,,
1276776-20030216,1310283,23146,3,"QUICKSILVER MECHANICAL, INC.","QUICKSILVER MECHANICAL, INC.",3361 N RIDGE,ARLINGTON HEIGHTS,IL,60004,,,,,1010,Limited Business License,,,1276776.0,RENEW,,12/17/2002,01/15/2003,N,02/16/2003,02/15/2004,01/15/2003,01/16/2003,AAI,,,,,
1248775-20040216,1453346,28655,2,A T M I,A T M I,960  RIDGEWAY AVE,AURORA,IL,60506,,,,,1010,Limited Business License,,,1248775.0,RENEW,,12/15/2003,01/20/2004,N,02/16/2004,02/15/2005,12/22/2003,01/21/2004,AAI,,,,,
1573177-20050113,1573177,286109,1,R.A. SMITH PLUMBING & CONSTRUCTION INC.,R. A. SMITH PLUMBING & CONSTRUCTION INC.,1200  RING RD,CALUMET CITY,IL,60409,,,,,1010,Limited Business License,,,1573177.0,ISSUE,12/27/2004,01/12/2005,01/12/2005,N,01/13/2005,02/15/2006,01/12/2005,01/13/2005,AAI,,,,,
1069978-20030816,1370320,64940,3,BARBARA J PRATT,PRATT'S BILLIARDS & ETC.,459 W 79TH ST,CHICAGO,IL,60620,17.0,53.0,17-53,6.0,1010,Limited Business License,,,1069978.0,RENEW,,06/24/2003,08/15/2003,N,08/16/2003,08/15/2004,08/15/2003,08/18/2003,AAI,,32.0,41.750636674,-87.636663903,"(41.750636673514464, -87.63666390289357)"
1225263-20120316,2136090,243037,1,"GUERO LANDSCAPING CONSTRUCTION, INC.","GUERO LANDSCAPING CONSTRUCTION, INC.",4929 W 82ND ST,BURBANK,IL,60459,,,,,1010,Limited Business License,,,1225263.0,RENEW,,01/17/2012,03/03/2012,N,03/16/2012,03/15/2014,03/03/2012,03/06/2012,AAI,,,,,
83956-20021116,1292775,81071,1,MARTIN PEREZ,M & J,3409 W 66TH ST 1ST,CHICAGO,IL,60629,23.0,28.0,23-28,8.0,1012,Home Occupation,,,83956.0,RENEW,,09/24/2002,11/12/2002,N,11/16/2002,11/15/2003,11/12/2002,11/13/2002,AAI,,,41.773318046,-87.708274458,"(41.77331804570451, -87.70827445826193)"
1170163-20020216,1220116,218537,1,MOHAMMED GHOUSUDDIN QASMI,786,2001 N HARLEM AVE,CHICAGO,IL,60707,29.0,45.0,29-45,25.0,1275,Filling Station,666,Operation of a Fuel Filling Station,1170163.0,RENEW,,12/21/2001,03/01/2002,N,02/16/2002,02/15/2003,03/01/2002,03/05/2002,AAI,,,41.916283891,-87.80586288,"(41.91628389135787, -87.80586288035137)"
2074089-20150216,2371626,313716,3,"RAPID ROOTER SEWER & DRAIN, INC.","RAPID ROOTER SEWER & DRAIN, INC.",8057 N OCTAVIA AVE,NILES,IL,60714,,,,,1010,Limited Business License,,,2074089.0,RENEW,,12/15/2014,01/03/2015,N,02/16/2015,02/15/2017,01/03/2015,01/05/2015,AAI,,,,,
2156677-20180616,2593346,372394,1,SUNG OP PAK,CAMEO CLEANER,1349 W MORSE AVE 1ST,CHICAGO,IL,60626,49.0,26.0,49-26,24.0,1010,Limited Business License,,,2156677.0,RENEW,,04/15/2018,06/07/2018,N,06/16/2018,06/15/2020,06/07/2018,06/08/2018,AAI,,24.0,42.007805626,-87.665700597,"(42.00780562604966, -87.66570059748655)"
2142552-20120326,2142552,341796,7,HI-TECH FX LLC,HI-TECH FX LLC,18060  170TH AVE,YARMOUTH,IA,52660,,,,,1253,Explosives,853,Use of Explosives,2142552.0,C_LOC,03/13/2012,03/22/2012,03/22/2012,N,03/26/2012,04/15/2013,03/23/2012,03/26/2012,AAI,,,,,
2269478-20150716,2403190,382194,1,"Razor Capital II, LLC","Razor Capital II, LLC",8000  NORMAN CTR. DR  860,BLOOMINGTON,MN,55437,,,,,4404,Regulated Business License,912,Debt Collecting - Administrative Commercial Office,2269478.0,RENEW,,05/15/2015,06/15/2015,N,07/16/2015,07/15/2017,06/15/2015,06/16/2015,AAI,,,,,
1196827-20020816,1252097,12627,1,"GRASMERE PLACE, LLC","GRASMERE PLACE, LLC",4621 N SHERIDAN RD,CHICAGO,IL,60640,46.0,22.0,46-22,19.0,1005,Long-Term Care Facility,,,1196827.0,RENEW,,06/28/2002,08/03/2002,N,08/16/2002,08/15/2003,08/03/2002,08/15/2002,AAI,,34.0,41.966008334,-87.654643679,"(41.96600833402895, -87.65464367873378)"
73629-20020216,1212703,61568,1,GREG'S DECORATING,GREG'S DECORATING,3409 W WOODWORTH   1,HAZEL CREST,IL,60429,,,,,1011,Home Repair,,,73629.0,RENEW,,12/20/2001,01/17/2002,N,02/16/2002,02/15/2003,02/14/2002,02/15/2002,AAI,,,,,
1403716-20120216,2132047,267270,1,LEON CONSTRUCTION CO.,JAIME GUERRERO AS LEON CONSTRUCTION,1407 S 61ST AVE,CICERO,IL,60804,,,,,1010,Limited Business License,,,1403716.0,RENEW,,12/15/2011,01/10/2012,N,02/16/2012,02/15/2014,01/10/2012,01/10/2012,AAI,,,,,
1246917-20061116,1745639,10627,1,OSCEOLA FENCE CORPORATION,OSCEOLA FENCE CORPORATION,3939 W DICKENS AVE,CHICAGO,IL,60647,26.0,5.0,26-5,25.0,1009,Manufacturing Establishments,,,1246917.0,RENEW,,09/20/2006,11/23/2006,N,11/16/2006,11/15/2007,11/23/2006,11/24/2006,AAI,,,41.918894504,-87.725792641,"(41.91889450440689, -87.72579264073927)"
28560-20020216,1223747,53301,1,JOSEPH CONTI & DAN SCHUMAN,C & S ENTERPRISES,849 W KENILWORTH   1,PALATINE,IL,60067,,,,,1010,Limited Business License,,,28560.0,RENEW,,02/05/2002,02/05/2002,N,02/16/2002,02/15/2003,02/05/2002,02/06/2002,AAI,,,,,
1591967-20050330,1591967,289530,1,KANTRELL D NICHOLSON,PLUMBING HEATING PIPING,741  RED OAK LN 1,UNIVERSITY PARK,IL,60466,,,,,1011,Home Repair,,,1591967.0,ISSUE,03/29/2005,03/29/2005,03/29/2005,N,03/30/2005,02/15/2006,03/29/2005,03/30/2005,AAI,,,,,
2270201-20130626,2270201,382506,1,"THE TRAF GROUP, INC.",A-1 Collection Service,101  GROVERS MILL ROAD   303,LAWRENCEVILL,NJ,08648,,,,,4404,Regulated Business License,912,Debt Collecting - Administrative Commercial Office,2270201.0,ISSUE,,06/26/2013,06/26/2013,N,06/26/2013,07/15/2015,06/26/2013,06/26/2013,AAI,,,,,
